hashtag_H cluster_C_leader(userID) relative_frequency_H_C frequency_H_in_C frequency_H_overall count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
TheDirtyWarOnTheNHS 1207182984308244480.hashtags 3928.00000000000010024256 .00025458248472505091  1.00000000000000000000 1 1 1 3928
RepublicanTTTTTTPredators 1208868664214032384.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
Tesla 1210259648068149255.hashtags 151.07692307692307712668 .00661914460285132382  1.00000000000000000000 1 1 26 3928
RRRRRRange 1210819022993772545.hashtags 93.52380952380952383464 .01069246435845213849  1.00000000000000000000 1 1 42 3928
"ScottNoIdea 1211861225664987137.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
NSWfires" 1211861225664987137.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
"firefall 1216059417465982976.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
horsetailfall" 1216059417465982976.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
BurnsNight 1221023762340024320.hashtags 1964.00000000000001154832 .00050916496945010183  1.00000000000000000000 1 1 2 3928
MEanial 1223324026426122240.hashtags 3928.00000000000010024256 .00025458248472505091  1.00000000000000000000 1 1 1 3928
"JohnTague 1223337398953639937.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
ActingReel 1223337398953639937.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
AHS1984 1223337398953639937.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
AnericanHorrorStory 1223337398953639937.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
LightAsAFeather 1223337398953639937.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
Lucifer 1223337398953639937.hashtags 280.57142857142857307272 .00050916496945010183  .14285714285714285714 1 7 2 3928
TheBlacklist" 1223337398953639937.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
RepublicanTTTTTTPredators 1228219180698071042.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
coronavirus 1239178591797207044.hashtags 56.11428571428571430078 .01782077393075356415  1.00000000000000000000 1 1 70 3928
GingerFerrell 1243975828658102272.hashtags 3928.00000000000010024256 .00025458248472505091  1.00000000000000000000 1 1 1 3928
COVID19 1247719681483509761.hashtags 3.30084033613445378152 .30295315682281059063  1.00000000000000000000 1 1 1190 3928
StayAtHomeSaveLives 1254421221791412225.hashtags 3928.00000000000010024256 .00025458248472505091  1.00000000000000000000 1 1 1 3928
ClosedButStillCaring 1254792706750062593.hashtags 3928.00000000000010024256 .00025458248472505091  1.00000000000000000000 1 1 1 3928
nonviolentcommunication 1255896017435836418.hashtags 3928.00000000000010024256 .00025458248472505091  1.00000000000000000000 1 1 1 3928
"COVID19uk 1260304251600936962.hashtags 785.60000000000002004851 .00025458248472505091  .20000000000000000000 1 5 1 3928
metoolcp 1260304251600936962.hashtags 785.60000000000002004851 .00025458248472505091  .20000000000000000000 1 5 1 3928
